Address,Name,Description,Default
8008,WorkModel,工作模式,false
8009,SystemStop,系统停止,true
8010,SystemInitial,系统初始化,false
8011,SystemStart,系统启动,true
8012,SystemHeartbeat,系统心跳,false
8013,EFU1SpeedSet,EFU1速度设定发送,false
8014,EFU2SpeedSet,EFU2速度设定发送,false
8016,RobotStop,Robot单工位停止,false
8017,RobotReset,Robot单工位复位,false
8018,RobotEnable,Robot单工位启动,false
8019,LoadPortStop,LoadPort单工位停止,false
8020,LoadPortReset,LoadPort单工位复位,false
8021,LoadPortStart,LoadPort单工位启动,false
8022,AlignerStop,Aligner单工位停止,false
8023,AlignerReset,Aligner单工位复位,false
8024,AlignerEnable,Aligner单工位启动,false
8025,EdgeStop,边缘STAGE停止,false
8026,EdgeReset,边缘STAGE复位,false
8027,EdgeEnable,边缘STAGE启动,false
8028,BSStop,正表面STAGE停止,false
8029,BSReset,正表面STAGE复位,false
8030,BSEnable,正表面STAGE启动,false
8168,CurrentAxisEnable,当前轴使能,false
8169,CurrentAxisStop,当前轴停止,false
8170,CurrentAxisReset,当前轴复位,false
8171,CurrentAxisIdle,当前轴回零,false
8172,CurrentAxisJogPlus,当前轴JOG+,false
8173,CurrentAxisJogMinus,当前轴JOG-,false
8174,CurrentAxisAbsoluteMove,当前轴绝对定位,false
8175,CurrentAxisRelativeForward,当前轴相对定位正转,false
8176,CurrentAxisRelativeBackward,当前轴相对定位反转,false
8177,CurrentAxisEnabling,当前轴使能中,false
8178,CurrentAxisStopping,当前轴回零中,false
8179,CurrentAxisStopFinish,当前轴回零完成,false
8180,CurrentAxisLocating,当前轴定位中,false
8181,CurrentAxisLocateFinish,当前轴定位完成,false
8182,CurrentAxisErrMSG,当前轴错误,false
8328,PlcRequestTakePhotoNotch,PLC请求Notch拍照,false
8329,PcTellPlcTakePhotoNotchDone,PC告知PLCNotch拍照完成,false
8330,PlcRequestTakePhotoEdge,PLC请求Edge拍照,false
8331,PcTellPlcOpenLightForEdgeDone,PC告知PlcEdge光源已开,false
8332,PlcTellPcTakePhotoEdgeFinished,PLC告知PCEdge拍照完成,false
8333,PlcRequestTakePhotoSurface,PLC请求Surface拍照,false
8334,PcTellPlcOpenLightForSurfaceDone,PC告知PlcSurface光源已开,false
8335,PlcTellPcTakePhotoForSurfaceFinished,Plc告知PCSurface拍照完成,false
8336,LoadPort1OpenDoorFinish,LoadPort1门打开,false
8337,LoadPort1CloseDoorFinish,LoadPort1门关闭,false
8338,LoadPort2OpenDoorFinish,LoadPort2门打开,false
8339,LoadPort2CloseDoorFinish,LoadPort2门关闭,false
8340,LoadPort3OpenDoorFinish,LoadPort3门打开,false
8341,LoadPort3CloseDoorFinish,LoadPort3门关闭,false
8342,LoadPort4OpenDoorFinish,LoadPort4门打开,false
8343,LoadPort4CloseDoorFinish,LoadPort4门关闭,false
8344,PlcTestStart,单片晶圆检测开始,false
8345,PlcTestDone,单片晶圆检测完成,false
8346,SurfaceStationHasWafer,Surface工位有板,false
8347,EdgeStationHasWafer,Edge工位有板,false
8348,PlcRequestTakePhotoWaferId,Plc请求aligner拍照,false
8349,PcTellPlcTakePhotoWaferIdFinished,PC告知Plcaligner拍照完成,false
8350,AlignerHasWafer,aligner工位本机有板,false
8356,WaferIdSide,Waferid位置,false
8366,PCTellPlcFoupAutoExchange,PC发送Plc自动换盒,false
8648,RobotCommandStart,RB命令开始,false
8649,RobotCommandOngoing,RB执行中,false
8650,Arm1HasWafer,ARM1 Wafer有无,false
8651,Arm2HasWafer,ARM2 Wafer有无,false
8652,RobotErrMsg,RB错误,false
8808,LoadPort1CommandStart,LP1命令开始,false
8809,LoadPort2CommandStart,LP2命令开始,false
8810,LoadPort3CommandStart,LP3命令开始,false
8811,LoadPort4CommandStart,LP4命令开始,false
8812,LoadPort1HasCassette,LP1Cassette有无,false
8813,LoadPort2HasCassette,LP2Cassette有无,false
8814,LoadPort3HasCassette,LP3Cassette有无,false
8815,LoadPort4HasCassette,LP4Cassette有无,false
8816,LoadPort1CommandOngoing,LP1执行中,false
8817,LoadPort2CommandOngoing,LP2执行中,false
8818,LoadPort3CommandOngoing,LP3执行中,false
8819,LoadPort4CommandOngoing,LP4执行中,false
8820,LoadPort1ErrMsg,LP1错误,false
8821,LoadPort2ErrMsg,LP2错误,false
8822,LoadPort3ErrMsg,LP3错误,false
8823,LoadPort4ErrMsg,LP4错误,false
8968,AlignerCommandStart,ALN命令开始,false
8969,AlignerCommandOngoing,ALN执行中,false
8971,AlignerErrMsg,ALN错误,false
9128,CurrentBSCylinderAction,当前气缸动作,false
9129,CurrentCylinderEnable,当前气缸复位,false
9130,CurrentCylinderFeedback,当前气缸到位,false
9131,CurrentCylinderOriginalPos,当前气缸原位,false
