S,F,进展,目前阶段,作用
1,1,完成,,心跳检测
1,3,完成,需电气提供设备状态的寄存器,获取设备状态，如气压、温度、亮度等
1,13,完成,,建立通信
1,15,完成,,请求设备离线
1,17,完成,,请求设备在线
2,21,0%,,远程命令，由S2F41取代
2,23,0%,,设定report按周期（时间）上报
2,31,0%,,同步时间
2,33,功能完成，待测试,需先完成各类ID定义后进行测试,定义report
2,35,功能完成，待测试,需先完成各类ID定义后进行测试,将report链接event
2,37,功能完成，待测试,需先完成各类ID定义后进行测试,是否启用事件上报
2,41,完成,已完成PP-SELECT和START,后续按照EFEM流程补全其他指令
2,49,0%,S2F41已满足大多数控制指令，后续有需求再补充,更加灵活的控制指令
3,17,0%,待完成,上传CarrierID，获取执行后续命令许可
5,1,完成,,报警
6,1,0%,,根据S2F23，按周期上报SVID
6,3,待定,已完成S6F11的数据上报功能,与S6F11一致
6,11,完成,已成功上报预设的report模板,由事件触发，设备主动上报
7,3,0%,,主机下发完整的配方数据（内容）给设备
7,5,0%,,主机请求设备上传指定配方的数据（内容）
7,19,0%,,主机请求设备列出其存储的所有配方ID清单
7,23,0%,,主机下发经过结构化、可编辑的配方数据给设备
7,25,0%,,用于发送配置数据，可用来让设备校验主机下发的配方格式是否正确
10,3,0%,,终端显示Host发送的Message
14,9,0%,目前设备尚不支持,控制物料顺序
16,15,0%,,Host指定配方-Lot-Carrier
